DATAFLOW,LAST UPDATE,freq,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,Germany,2020-S1,1544,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,Germany,2020-S2,1544,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,Germany,2021-S1,1585,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,Germany,2021-S2,1602,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,Germany,2022-S1,1634,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,Germany,2022-S2,1739,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,Germany,2023-S1,1997,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,Germany,2023-S2,1997,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,Germany,2024-S1,2054,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,Germany,2024-S2,2054,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,Germany,2025-S1,2161,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,Germany,2025-S2,2161,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,Spain,2020-S1,1108,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,Spain,2020-S2,1108,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,Spain,2021-S1,1108,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,Spain,2021-S2,1108,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,Spain,2022-S1,1126,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,Spain,2022-S2,1167,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,Spain,2023-S1,1167,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,Spain,2023-S2,1260,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,Spain,2024-S1,1323,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,Spain,2024-S2,1323,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,Spain,2025-S1,1381,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,Spain,2025-S2,1381,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,France,2020-S1,1539,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,France,2020-S2,1539,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,France,2021-S1,1555,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,France,2021-S2,1555,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,France,2022-S1,1603,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,France,2022-S2,1646,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,France,2023-S1,1709,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,France,2023-S2,1747,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,France,2024-S1,1767,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,France,2024-S2,1767,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,France,2025-S1,1802,,
ESTAT:TPS00155(1.0),12/08/25 23:00:00,"Half-yearly, semesterly",Euro,France,2025-S2,1802,,
